id,object_name,chain,object_type,address,number
151635,СМЕТАНА,нет,кафе,"город Москва, улица Егора Абакумова, дом 9",48
77874,Родник,нет,кафе,"город Москва, улица Талалихина, дом 2/1, корпус 1",35
24309,Кафе «Академия»,нет,кафе,"город Москва, Абельмановская улица, дом 6",95
21894,ПИЦЦЕТОРИЯ,да,кафе,"город Москва, Абрамцевская улица, дом 1",40
119365,Кафе «Вишневая метель»,нет,кафе,"город Москва, Абрамцевская улица, дом 9, корпус 1",50
27429,СТОЛ. ПРИ ГОУ СОШ № 1051,нет,столовая,"город Москва, Абрамцевская улица, дом 15, корпус 1",240
148815,Брусника,да,кафе,"город Москва, переулок Сивцев Вражек, дом 6/2",10
20957,Буфет МТУСИ,нет,столовая,"город Москва, Авиамоторная улица, дом 8, строение 1",90
20958,КПФ СЕМЬЯ-1,нет,столовая,"город Москва, Авиамоторная улица, дом 8, строение 1",150
28858,Столовая МТУСИ,нет,столовая,"город Москва, Авиамоторная улица, дом 8, строение 1",120
148595,Пекарня 24,нет,закусочная,"город Москва, Авиамоторная улица, дом 47",5
23394,Гогиели,нет,кафе,"город Москва, Авиамоторная улица, дом 49/1",24
28582,ШКОЛА 735,нет,столовая,"город Москва, Авиамоторная улица, дом 51",140
22579,Алло Пицца,да,кафе,"город Москва, улица Авиаторов, дом 14",32
23670,Гимназия 1542,нет,столовая,"город Москва, улица Авиаторов, дом 16",270
23663,Школа 1011,нет,столовая,"город Москва, улица Авиаторов, дом 18",320
144107,Суши Wok,да,предприятие быстрого обслуживания,"город Москва, Азовская улица, дом 3",7
154654,Донер Кебаб,нет,предприятие быстрого обслуживания,"город Москва, Азовская улица, дом 4",2
58565,Тануки,да,ресторан,"город Москва, Большая Академическая улица, дом 65",160
153644,Американская Лаборатория Десертов,нет,кафе,"город Москва, Филипповский переулок, дом 15/5",20
21950,Кафе,нет,кафе,"город Москва, Алтайская улица, дом 33/7",30
84832,КАФЕ УЮТ,нет,кафе,"город Москва, Алтуфьевское шоссе, дом 14",110
26931,Долина Чайхона,нет,кафе,"город Москва, Алтуфьевское шоссе, дом 14",150
28751,ГБОУ Школа № 1411 (970),нет,столовая,"город Москва, Алтуфьевское шоссе, дом 42Б",120
125608,Кафетерий,нет,кафетерий,"город Москва, Алтуфьевское шоссе, дом 56",6
81554,Домино'с Пицца,да,кафе,"город Москва, Алтуфьевское шоссе, дом 56",24
21304,РАХИМКУЛОВА Т.Х.,нет,буфет,"город Москва, Алтуфьевское шоссе, дом 102Б",20
29223,СТОЛОВАЯ ПРИ ГУП ОБЪЕДИНЕННЫЙ КОМБИНАТ ШКОЛЬНОГО ПИТАНИЯ,нет,столовая,"город Москва, улица Амундсена, дом 10",192
27439,ШКОЛА 1444,нет,столовая,"город Москва, Анадырский проезд, дом 55",240
22767,Мархал,нет,кафе,"город Москва, Ангарская улица, дом 1, корпус 2",120
24387,Готика,да,ресторан,"город Москва, Ангарская улица, дом 39",65
29006,Гимназия № 1527,нет,столовая,"город Москва, проспект Андропова, дом 17, корпус 2",240
70791,Кафе «Хинкальная»,нет,кафе,"город Москва, проспект Андропова, дом 26",45
69243,Суши Wok,да,кафе,"город Москва, проспект Андропова, дом 30",4
25711,Рыба & мясо на углях,нет,кафе,"город Москва, проспект Андропова, дом 35А",45
21157,Кларом,нет,столовая,"город Москва, проспект Андропова, дом 38, корпус 2",24
127979,Месопотамия,нет,ресторан,"город Москва, улица Арбат, дом 4, строение 1",50
24968,Му-Му,да,кафе,"город Москва, улица Арбат, дом 4, строение 1",125
127980,Хлеб насущный,да,кафе,"город Москва, улица Арбат, дом 6/2",20
88194,TAJJ MAHAL,да,ресторан,"город Москва, улица Арбат, дом 6/2",100
107496,Калифорния Дайнер,нет,кафе,"город Москва, улица Арбат, дом 23, строение 1",150
110269,Балалаечная,нет,кафе,"город Москва, улица Арбат, дом 23, строение 1",49
74969,Пиросмани,нет,кафе,"город Москва, улица Арбат, дом 25/36",63
74970,ДАНКИН ДОНАТС,да,кафе,"город Москва, улица Арбат, дом 25/36",48
74979,Вареничная №1,да,кафе,"город Москва, улица Арбат, дом 29",120
21723,ШОКОЛАДНИЦА,да,кафе,"город Москва, улица Арбат, дом 29",40
24967,IL Pizzaiolo,нет,ресторан,"город Москва, улица Арбат, дом 31",70
24973,Теремок,да,кафе,"город Москва, улица Арбат, дом 32",22
21720,Хлеб насущный,да,кафе,"город Москва, улица Арбат, дом 32",40
140165,Мосбург,нет,кафе,"город Москва, улица Арбат, дом 36/2, строение 1",30
127855,Эрик Рыжий,нет,ресторан,"город Москва, улица Арбат, дом 36/2, строение 1",30
152754,Домашняя снедь,нет,кафе,"город Москва, улица Арбат, дом 36/2, строение 1",56
76932,Хинкальная,да,кафе,"город Москва, улица Арбат, дом 36/2, строение 1",38
21998,Му-Му,да,кафе,"город Москва, улица Арбат, дом 45/24",220
27311,ВОСТОЧНЫЙ КВАРТАЛ,нет,ресторан,"город Москва, улица Арбат, дом 45/24",90
24970,ПОЧТМЕЙСТЕР,нет,ресторан,"город Москва, улица Арбат, дом 47/23",30
73570,БОСФОР,нет,ресторан,"город Москва, улица Арбат, дом 47/23",78
20050,Мастер,нет,ресторан,"город Москва, улица Артамонова, дом 7",20
21687,Шантимель,да,кафе,"город Москва, Астраханский переулок, дом 1/15",20
21065,Буфет при Астраханских банях,нет,буфет,"город Москва, Астраханский переулок, дом 5/9",3
27395,Столовая при школе 2097,нет,столовая,"город Москва, Аэродромная улица, дом 9",240
21214,Столовая,нет,столовая,"город Москва, Бабаевская улица, дом 3",90
21483,БУФЕТ ШК.104,нет,буфет,"город Москва, улица Ивана Бабушкина, дом 15, корпус 1-2",80
23843,КАРЛ БАЛЕНГ,нет,кафе,"город Москва, улица Ивана Бабушкина, дом 17, корпус 1",46
27474,ГБОУ Школа № 1078,нет,столовая,"город Москва, Байкальская улица, дом 29",110
25274,Старый дворик,нет,кафе,"город Москва, Байкальская улица, дом 31",50
124164,Пивной погребок,нет,кафе,"город Москва, Бакинская улица, дом 29",15
27265,ТАНУКИ,да,ресторан,"город Москва, Балаклавский проспект, дом 48, корпус 1",96
139766,Паб «ШемроК»,нет,бар,"город Москва, Балаклавский проспект, дом 54",30
22139,ХуанХэ,нет,ресторан,"город Москва, 1-й Балтийский переулок, дом 3/25",60
53084,Специализированный цех Магнолия,нет,столовая,"город Москва, улица Барклая, дом 16, корпус 1",7
59265,Кафе-бар Альбом,нет,кафе,"город Москва, Новая Басманная улица, дом 12, строение 2",80
21830,Шоколадница,да,кафе,"город Москва, Бауманская улица, дом 33/2, строение 1",48
22366,МУ-МУ,да,кафе,"город Москва, Бауманская улица, дом 35/1",160
143094,Кальянный клуб Дымок Уголек,нет,кафе,"город Москва, Татарская улица, дом 14",30
22804,Домино'с Пицца,да,кафе,"город Москва, Башиловская улица, дом 3, корпус 1",10
22805,Хинкальная City,да,кафе,"город Москва, Башиловская улица, дом 19",63
28443,Свобода,нет,столовая,"город Москва, Башиловская улица, дом 21",40
69176,Хинкальный дом Колхида,нет,кафе,"город Москва, Беговая улица, дом 7",47
155857,Глав Пирог,нет,кафе,"город Москва, Беговая улица, дом 17, корпус 1",30
27201,Розмарин,нет,ресторан,"город Москва, Беговая улица, дом 28",80
25833,АЗЕРБАЙДЖАН,нет,ресторан,"город Москва, улица Демьяна Бедного, дом 4",180
26239,ОРХИДЕЯ,нет,ресторан,"город Москва, Белореченская улица, дом 13, корпус 1",250
28880,школа 1186,нет,буфет,"город Москва, Белореченская улица, дом 17",200
23993,КРУЖКА,да,кафе,"город Москва, Бережковская набережная, дом 8",32
20422,ПОСТ СКРИПТУМ,нет,кафе,"город Москва, Бережковская набережная, дом 14",48
69160,CIAO BELLA,нет,кафе,"город Москва, улица Берзарина, дом 8",110
20344,Кафе Бар Бульвар,нет,бар,"город Москва, Бескудниковский бульвар, дом 40, корпус 3",60
24363,Вояж,нет,ресторан,"город Москва, Бескудниковский бульвар, дом 57, корпус 1",80
28754,ГБОУ Школа № 1411 (267),нет,столовая,"город Москва, улица Бестужевых, дом 23",120
115311,Жигулевское,нет,кафе,"город Москва, Бибиревская улица, дом 7, корпус 1",49
25933,Сестры,нет,ресторан,"город Москва, улица Маршала Бирюзова, дом 4, корпус 1",60
27841,Столовая ГБОУ «Курчатовская школа»,нет,столовая,"город Москва, улица Маршала Бирюзова, дом 4, корпус 2",60
152892,Чайникофф,нет,кафе,"город Москва, улица Маршала Бирюзова, дом 9",30
22293,ЛУКУМ,нет,кафе,"город Москва, улица Маршала Бирюзова, дом 12",25
127674,СУШИ SHOP,нет,предприятие быстрого обслуживания,"город Москва, улица Маршала Бирюзова, дом 13",12
142568,Хинкальная (на М. Бирюзова),нет,кафе,"город Москва, улица Маршала Бирюзова, дом 16",14
125817,ШАУРМА ЖИ,нет,закусочная,"город Москва, улица Маршала Бирюзова, дом 19",16
129397,СУШИ ВОК,да,кафе,"город Москва, улица Маршала Бирюзова, дом 19",6
22292,ПРИМАВЕРА,да,ресторан,"город Москва, улица Маршала Бирюзова, дом 21",50
58827,ТРАТТОРИЯ,нет,кафе,"город Москва, улица Маршала Бирюзова, дом 22, корпус 1",45
69377,СУШИ STORE,нет,кафе,"город Москва, улица Маршала Бирюзова, дом 28",6
69159,БУЛОЧНАЯ № 5,нет,кафетерий,"город Москва, улица Маршала Бирюзова, дом 28",10
24437,Идилия,нет,кафе,"город Москва, Бойцовая улица, дом 17, корпус 1",48
29364,Школа № 554,нет,столовая,"город Москва, Болотниковская улица, дом 47, корпус 1",70
24616,Сказка Востока,нет,ресторан,"город Москва, Коктебельская улица, дом 11, строение 3",420
28731,СТОЛОВАЯ ПРИ ШКОЛЕ 1494 (3),нет,столовая,"город Москва, Ботаническая улица, дом 11",100
24656,Хочу на дачу,нет,кафе,"город Москва, 1-й Боткинский проезд, дом 2/6",48
22284,СТАРЫЙ БАТУМЪ,нет,кафе,"город Москва, улица Академика Бочвара, дом 7, корпус 1",70
21616,СУШИ-СЕТ,нет,закусочная,"город Москва, улица Академика Бочвара, дом 7, корпус 1",5
24779,Кафе Русский «водочный» дом,нет,кафе,"город Москва, улица Бочкова, дом 5",30
