,record_id,item_topic,source_topic,age_segment,dt,visits
0,1040597,Деньги,Авто,18-25,2019-09-24 18:32:00,3
1,1040598,Деньги,Авто,18-25,2019-09-24 18:35:00,1
2,1040599,Деньги,Авто,18-25,2019-09-24 18:54:00,4
3,1040600,Деньги,Авто,18-25,2019-09-24 18:55:00,17
4,1040601,Деньги,Авто,18-25,2019-09-24 18:56:00,27
5,1040602,Деньги,Авто,18-25,2019-09-24 18:57:00,22
6,1040603,Деньги,Авто,18-25,2019-09-24 18:58:00,24
7,1040604,Деньги,Авто,18-25,2019-09-24 18:59:00,20
8,1040605,Деньги,Авто,18-25,2019-09-24 19:00:00,5
9,1040606,Деньги,Авто,26-30,2019-09-24 18:29:00,1
10,1040607,Деньги,Авто,26-30,2019-09-24 18:30:00,1
11,1040608,Деньги,Авто,26-30,2019-09-24 18:31:00,1
12,1040609,Деньги,Авто,26-30,2019-09-24 18:32:00,1
13,1040610,Деньги,Авто,26-30,2019-09-24 18:54:00,4
14,1040611,Деньги,Авто,26-30,2019-09-24 18:55:00,13
15,1040612,Деньги,Авто,26-30,2019-09-24 18:56:00,18
16,1040613,Деньги,Авто,26-30,2019-09-24 18:57:00,15
17,1040614,Деньги,Авто,26-30,2019-09-24 18:58:00,13
18,1040615,Деньги,Авто,26-30,2019-09-24 18:59:00,13
19,1040616,Деньги,Авто,26-30,2019-09-24 19:00:00,5
20,1040617,Деньги,Авто,31-35,2019-09-24 18:30:00,1
21,1040618,Деньги,Авто,31-35,2019-09-24 18:54:00,1
22,1040619,Деньги,Авто,31-35,2019-09-24 18:55:00,4
23,1040620,Деньги,Авто,31-35,2019-09-24 18:56:00,10
24,1040621,Деньги,Авто,31-35,2019-09-24 18:57:00,9
25,1040622,Деньги,Авто,31-35,2019-09-24 18:58:00,14
26,1040623,Деньги,Авто,31-35,2019-09-24 18:59:00,11
27,1040624,Деньги,Авто,31-35,2019-09-24 19:00:00,6
28,1040625,Деньги,Авто,36-40,2019-09-24 18:30:00,1
29,1040626,Деньги,Авто,36-40,2019-09-24 18:32:00,1
30,1040627,Деньги,Авто,36-40,2019-09-24 18:52:00,1
31,1040628,Деньги,Авто,36-40,2019-09-24 18:54:00,1
32,1040629,Деньги,Авто,36-40,2019-09-24 18:55:00,4
33,1040630,Деньги,Авто,36-40,2019-09-24 18:56:00,10
34,1040631,Деньги,Авто,36-40,2019-09-24 18:57:00,8
35,1040632,Деньги,Авто,36-40,2019-09-24 18:58:00,7
36,1040633,Деньги,Авто,36-40,2019-09-24 18:59:00,6
37,1040634,Деньги,Авто,36-40,2019-09-24 19:00:00,3
38,1040635,Деньги,Авто,41-45,2019-09-24 18:29:00,2
39,1040636,Деньги,Авто,41-45,2019-09-24 18:30:00,1
40,1040637,Деньги,Авто,41-45,2019-09-24 18:33:00,1
41,1040638,Деньги,Авто,41-45,2019-09-24 18:55:00,1
42,1040639,Деньги,Авто,41-45,2019-09-24 18:56:00,2
43,1040640,Деньги,Авто,41-45,2019-09-24 18:57:00,5
44,1040641,Деньги,Авто,41-45,2019-09-24 18:58:00,2
45,1040642,Деньги,Авто,41-45,2019-09-24 18:59:00,1
46,1040643,Деньги,Авто,45+,2019-09-24 18:54:00,1
47,1040644,Деньги,Авто,45+,2019-09-24 18:55:00,1
48,1040645,Деньги,Авто,45+,2019-09-24 18:56:00,3
49,1040646,Деньги,Авто,45+,2019-09-24 18:57:00,2
50,1040647,Деньги,Авто,45+,2019-09-24 18:58:00,9
51,1040648,Деньги,Авто,45+,2019-09-24 19:00:00,1
52,1040649,Деньги,Деньги,18-25,2019-09-24 18:32:00,2
53,1040650,Деньги,Деньги,18-25,2019-09-24 18:33:00,1
54,1040651,Деньги,Деньги,18-25,2019-09-24 18:53:00,1
55,1040652,Деньги,Деньги,18-25,2019-09-24 18:54:00,3
56,1040653,Деньги,Деньги,18-25,2019-09-24 18:55:00,14
57,1040654,Деньги,Деньги,18-25,2019-09-24 18:56:00,18
58,1040655,Деньги,Деньги,18-25,2019-09-24 18:57:00,23
59,1040656,Деньги,Деньги,18-25,2019-09-24 18:58:00,15
60,1040657,Деньги,Деньги,18-25,2019-09-24 18:59:00,13
61,1040658,Деньги,Деньги,18-25,2019-09-24 19:00:00,7
62,1040659,Деньги,Деньги,26-30,2019-09-24 18:55:00,3
63,1040660,Деньги,Деньги,26-30,2019-09-24 18:56:00,6
64,1040661,Деньги,Деньги,26-30,2019-09-24 18:57:00,4
65,1040662,Деньги,Деньги,26-30,2019-09-24 18:58:00,5
66,1040663,Деньги,Деньги,26-30,2019-09-24 18:59:00,8
67,1040664,Деньги,Деньги,26-30,2019-09-24 19:00:00,2
68,1040665,Деньги,Деньги,31-35,2019-09-24 18:30:00,1
69,1040666,Деньги,Деньги,31-35,2019-09-24 18:31:00,1
70,1040667,Деньги,Деньги,31-35,2019-09-24 18:33:00,1
71,1040668,Деньги,Деньги,31-35,2019-09-24 18:54:00,4
72,1040669,Деньги,Деньги,31-35,2019-09-24 18:55:00,1
73,1040670,Деньги,Деньги,31-35,2019-09-24 18:56:00,4
74,1040671,Деньги,Деньги,31-35,2019-09-24 18:57:00,8
75,1040672,Деньги,Деньги,31-35,2019-09-24 18:58:00,9
76,1040673,Деньги,Деньги,31-35,2019-09-24 18:59:00,6
77,1040674,Деньги,Деньги,36-40,2019-09-24 18:28:00,1
78,1040675,Деньги,Деньги,36-40,2019-09-24 18:55:00,3
79,1040676,Деньги,Деньги,36-40,2019-09-24 18:56:00,6
80,1040677,Деньги,Деньги,36-40,2019-09-24 18:58:00,5
81,1040678,Деньги,Деньги,36-40,2019-09-24 18:59:00,6
82,1040679,Деньги,Деньги,36-40,2019-09-24 19:00:00,1
83,1040680,Деньги,Деньги,41-45,2019-09-24 18:29:00,1
84,1040681,Деньги,Деньги,41-45,2019-09-24 18:54:00,3
85,1040682,Деньги,Деньги,41-45,2019-09-24 18:55:00,2
86,1040683,Деньги,Деньги,41-45,2019-09-24 18:56:00,5
87,1040684,Деньги,Деньги,41-45,2019-09-24 18:57:00,2
88,1040685,Деньги,Деньги,41-45,2019-09-24 18:58:00,1
89,1040686,Деньги,Деньги,41-45,2019-09-24 18:59:00,1
90,1040687,Деньги,Деньги,45+,2019-09-24 18:56:00,2
91,1040688,Деньги,Деньги,45+,2019-09-24 18:57:00,2
92,1040689,Деньги,Деньги,45+,2019-09-24 18:58:00,2
93,1040690,Деньги,Дети,18-25,2019-09-24 18:28:00,1
94,1040691,Деньги,Дети,18-25,2019-09-24 18:29:00,2
95,1040692,Деньги,Дети,18-25,2019-09-24 18:30:00,2
96,1040693,Деньги,Дети,18-25,2019-09-24 18:31:00,5
97,1040694,Деньги,Дети,18-25,2019-09-24 18:32:00,10
98,1040695,Деньги,Дети,18-25,2019-09-24 18:33:00,3
99,1040696,Деньги,Дети,18-25,2019-09-24 18:53:00,1
100,1040697,Деньги,Дети,18-25,2019-09-24 18:54:00,11
101,1040698,Деньги,Дети,18-25,2019-09-24 18:55:00,33
102,1040699,Деньги,Дети,18-25,2019-09-24 18:56:00,66
103,1040700,Деньги,Дети,18-25,2019-09-24 18:57:00,72
104,1040701,Деньги,Дети,18-25,2019-09-24 18:58:00,71
105,1040702,Деньги,Дети,18-25,2019-09-24 18:59:00,61
106,1040703,Деньги,Дети,18-25,2019-09-24 19:00:00,15
107,1040704,Деньги,Дети,26-30,2019-09-24 18:30:00,2
108,1040705,Деньги,Дети,26-30,2019-09-24 18:31:00,1
109,1040706,Деньги,Дети,26-30,2019-09-24 18:53:00,4
110,1040707,Деньги,Дети,26-30,2019-09-24 18:54:00,6
111,1040708,Деньги,Дети,26-30,2019-09-24 18:55:00,12
112,1040709,Деньги,Дети,26-30,2019-09-24 18:56:00,33
